;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
146;79.990;Jeep;Renegade;1.8 16v Longitude;69.062;2016;SP;Jardim Santo Amaro - São Paulo Zona Sul;Vazio
147;67.790;Hyundai;Tucson;2.0 Mpfi Gls 16v 143cv 2wd;74.873;2016;SP;Vila Almeida - São Paulo Zona Sul;Vazio
148;62.900;Chevrolet;Onix;1.4 Mpfi Ltz 8v;58.936;2017;SP;Jardim Maringá - Mauá;Vazio
149;89.790;Kia;Cerato;1.6 Sx 16v;39.053;2019;SP;Parque Capuava - Santo André;Vazio
150;88.790;Renault;Captur;1.6 16v Sce Life;30.153;2019;SP;Vila Almeida - São Paulo Zona Sul;Vazio
151;74.790;Hyundai;Hb20s;1.6 Comfort Plus 16v;31.193;2019;SP;Parque Capuava - Santo André;Vazio
152;82.900;Honda;Fit;1.5 Personal 16v;24.196;2018;SP;Vila Anchieta - São José do Rio Preto;Vazio
153;81.900;Fiat;Doblo;1.8 Mpi Essence 7l 16v;103.239;2020;SP;Vila Anchieta - São José do Rio Preto;Vazio
154;88.790;Renault;Captur;1.6 16v Sce Life;40.156;2019;SP;Parque Capuava - Santo André;Vazio
155;63.890;Chevrolet;Onix;1.4 Mpfi Lt 8v;60.800;2019;SP;Centro - São Bernardo do Campo;Vazio
156;84.890;Kia;Cerato;1.6 Sx 16v;21.232;2018;SP;Centro - São Bernardo do Campo;Vazio
157;59.790;Fiat;Argo;1.0 Firefly Drive;32.273;2018;SP;Vila Almeida - São Paulo Zona Sul;Vazio
158;56.990;Chevrolet;Montana;1.4 Mpfi Ls Cs 8v;82.000;2019;SP;Santo Amaro - São Paulo Zona Sul;Vazio
159;77.990;Nissan;Sentra;2.0 S 16v Flexstart;63.000;2018;SP;Itaim Bibi - São Paulo Zona Sul;Vazio
160;83.900;Chevrolet;Cruze;1.4 Turbo Lt 16v;76.500;2018;SP;Ipiranga - São Paulo Zona Sul;Vazio
161;69.990;Nissan;Versa;1.6 16v Flexstart Unique;80.000;2018;SP;Parque da Mooca - São Paulo Zona Leste;Premium Auto Shopping
162;84.790;Hyundai;Ix35;2.0 Mpfi Gls 16v;130.033;2015;SP;Parque Capuava - Santo André;Vazio
163;83.790;Jeep;Renegade;1.8 16v Longitude;77.563;2016;SP;Parque Capuava - Santo André;Vazio
164;74.870;Jeep;Renegade;Renegade Sport 1.8 (flex);88.800;2017;SP;Alto da Mooca - São Paulo Zona Leste;Vazio
165;55.900;Citroã«n;Aircross;1.6 16v Start Flex 5p;57.961;2018;SP;Alto do Ipiranga - São Paulo Zona Sul;Vazio
166;71.900;Fiat;Cronos;1.3 Firefly Drive;42.000;2019;SP;Parque Capuava - Santo André;Vazio
167;79.990;Honda;Civic;2.0 Lxr 16v;91.007;2016;SP;Jardim Santo Amaro - São Paulo Zona Sul;Vazio
168;80.900;Honda;Fit;1.5 Lx 16v;43.155;2017;SP;Jurubatuba - São Paulo Zona Sul;Vazio
169;89.900;Hyundai;Creta;1.6 16v Flex Attitude Automático;59.000;2018;SP;São Paulo Zona Sul;Vazio
170;69.999;Fiat;Cronos;1.3 Firefly Drive;25.840;2019;SP;José Menino - Santos;Vazio
171;56.900;Ford;Ka;1.5 Sigma Sel Plus;69.000;2018;SP;Parque Capuava - Santo André;Vazio
172;89.900;Suzuki;Jimny;1.3 4all 4x4 16v;24.000;2019;SP;Parque Capuava - Santo André;Vazio
173;89.900;Honda;Hr-v;1.8 16v Ex;55.194;2016;SP;Centro - São Bernardo do Campo;Vazio
174;57.990;Hyundai;Hb20;1.0 Unique 12v;48.463;2019;SP;Rudge Ramos - São Bernardo do Campo;Premium Auto Shopping
175;55.990;Chevrolet;Onix;1.0 Mpfi Joy 8v;52.000;2020;SP;Rudge Ramos - São Bernardo do Campo;Premium Auto Shopping
176;83.990;Honda;City;1.5 Lx 16v;50.000;2018;SP;Itaim Bibi - São Paulo Zona Sul;Vazio
177;59.990;Ford;Ecosport;1.6 Freestyle 16v;92.352;2015;SP;Jardim Santo Amaro - São Paulo Zona Sul;Vazio
178;88.790;Renault;Captur;1.6 16v Sce Intense;58.163;2018;SP;Vila Almeida - São Paulo Zona Sul;Vazio
179;71.900;Honda;Civic;1.8 Lxs 16v Flex 4p Automático;94.560;2015;SP;São Paulo Zona Sul;Vazio
180;61.790;Hyundai;Tucson;2.0 Mpfi Gls 16v 143cv 2wd;78.373;2015;SP;Vila Almeida - São Paulo Zona Sul;Vazio
181;66.890;Hyundai;Hb20;1.6 Premium 16v;73.400;2017;SP;Centro - São Bernardo do Campo;Vazio
182;58.790;Fiat;Argo;1.0 Firefly Drive;42.273;2018;SP;Parque Capuava - Santo André;Vazio
183;57.900;Chevrolet;Montana;1.4 Mpfi Ls Cs 8v;49.000;2019;SP;Santa Paula - São Caetano do Sul;Vazio
184;89.900;Mitsubishi;Asx;2.0 Outdoor 16v;72.000;2016;SP;Parque Capuava - Santo André;Vazio
185;65.900;Toyota;Etios;1.5 X Sedan 16v;33.000;2019;SP;Parque Capuava - Santo André;Vazio
186;79.990;Jeep;Renegade;1.8 16v;57.000;2018;SP;Parque Capuava - Santo André;Vazio
187;68.900;Chevrolet;Onix;1.4 Mpfi Activ 8v;97.018;2018;SP;Jardim Mosteiro - Ribeirão Preto;Vazio
188;60.990;Hyundai;Hb20s;1.0 Unique 12v Flex 4p Manual;77.849;2019;SP;Presidente Prudente;Vazio
189;89.900;Jeep;Renegade;1.8 16v Longitude;48.000;2018;SP;Parque Capuava - Santo André;Vazio
190;76.900;Hyundai;Hb20s;1.6 Copa Do Mundo Fifa 16v;46.000;2019;SP;Parque Capuava - Santo André;Vazio
191;69.990;Honda;Fit;1.5 Lx 16v;73.000;2016;SP;Centro - São Bernardo do Campo;Vazio
192;75.990;Hyundai;Hb20s;1.6 Premium 16v;30.000;2018;SP;Itaim Bibi - São Paulo Zona Sul;Vazio
193;82.990;Volkswagen;Golf;1.6 Msi Comfortline 16v Total;84.000;2016;SP;Itaim Bibi - São Paulo Zona Sul;Vazio
194;59.990;Volkswagen;Saveiro;1.6 Msi Robust Cs 8v;68.000;2019;SP;Santo Antônio - São Caetano do Sul;Vazio
195;67.990;Ford;Ecosport;1.6 Se 16v;57.000;2017;SP;Parque da Mooca - São Paulo Zona Leste;Premium Auto Shopping
196;68.990;Honda;Fit;Fit 1.5 16v Lx Cvt (flex);120.092;2016;SP;São Paulo;Vazio
197;65.900;Toyota;Etios;1.5 X Plus Sedan 16v;64.181;2019;SP;Vila Das Belezas - São Paulo Zona Sul;Vazio
198;59.900;Hyundai;Hb20;1.6 Comfort Plus 16v;33.121;2018;SP;Penha De Franca - São Paulo Zona Leste;Vazio
199;89.900;Chevrolet;S-10;2.5 Lt 4x4 Cd 16v;106.000;2015;SP;Penha De Franca - São Paulo Zona Leste;Vazio
200;68.990;Chevrolet;Cruze;1.8 Lt 16v Sedan;133.611;2015;SP;Centro - São Bernardo do Campo;Vazio
201;83.890;Honda;Fit;1.5 Ex 16v;59.800;2018;SP;Centro - São Caetano do Sul;Premium Auto Shopping
202;79.990;Renault;Duster;2.0 16v Dynamique;48.000;2018;SP;Santo Antônio - São Caetano do Sul;Vazio
203;70.900;Honda;Civic;1.8 Lxs 16v;69.234;2015;SP;Jardim Maringá - Mauá;Vazio
204;64.990;Hyundai;Tucson;2.0 Gls 4x2 Flex Aut. 5p;64.500;2016;SP;Penha De Franca - São Paulo Zona Leste;Vazio
205;68.000;Honda;Fit;1.5 Lx Flex Aut. 5p;83.771;2015;SP;Penha - São Paulo Zona Leste;Vazio
206;67.500;Honda;Fit;1.5 Lx Flex Aut. 5p;83.770;2015;SP;Penha - São Paulo Zona Leste;Vazio
207;63.900;Fiat;Weekend;1.8 16v Adventure Flex 5p;87.000;2019;SP;Jardim Bela Vista - Santo André;Vazio
208;76.900;Renault;Duster;1.6 16v Dynamique Sce 5p;96.000;2019;SP;Jardim Bela Vista - Santo André;Vazio
