;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
451;59.900;Chevrolet;Onix;1.0 Lt 5p;61.000;2019;SC;Ibirama;Vazio
452;82.900;Peugeot;2008;1.6 Thp 16v Griffe Flex 5p;49.000;2018;SC;Centro - Itajaí;Vazio
453;86.890;Toyota;Yaris;Xl 1.3 Aut;30.013;2019;SC;São José;Vazio
454;87.890;Honda;Fit;Exl 1.5 Flex Aut.;40.413;2018;SC;Kobrasol - São José;Vazio
455;86.900;Nissan;Kicks;1.6 16v S Aut. 5p;61.000;2018;SC;Centro - Itajaí;Vazio
456;84.999;Volkswagen;Saveiro;Pepper 1.6 Flex 8v Cd;63.670;2019;SC;Florianópolis;Vazio
457;88.990;Hyundai;Hb20x;1.6 16v Premium Flex 4p Automático;28.500;2019;SC;Tubarão;Vazio
458;58.990;Volkswagen;Fox;1.0 Mpi Trendline 12v Flex 4p Manual;91.000;2018;SC;Tubarão;Vazio
459;89.990;Jeep;Renegade;1.8 16v Flex Sport 4p Automático;75.000;2019;SC;Tubarão;Vazio
460;62.990;Hyundai;Hb20x;1.6 16v Style Flex 4p Automático;69.000;2015;SC;Tubarão;Vazio
461;74.990;Renault;Duster;2.0 Dynamique 4x2 16v Flex 4p Automático;75.000;2017;SC;Tubarão;Vazio
462;57.990;Hyundai;Hb20;1.6 Comfort Plus 16v Flex 4p Automático;112.000;2015;SC;Tubarão;Vazio
463;61.990;Citroën;Aircross;1.6 Live 16v Flex 4p Automático;59.000;2016;SC;Tubarão;Vazio
464;87.990;Peugeot;2008;1.6 16v Flex Crossway 4p Automático;60.000;2019;SC;Tubarão;Vazio
465;75.990;Hyundai;Hb20;1.6 Comfort Plus At;22.897;2019;SC;Palhoça;Vazio
466;86.990;Renault;Captur;Renault Captur Life;45.000;2019;SC;Barreiros - São José;Vazio
467;78.990;Ford;Ecosport;Freestyle 1.6;65.000;2016;SC;Brusque;Vazio
468;62.900;Chevrolet;Spin;Lt 1.8 Aut.;92.409;2016;SC;Blumenau;Vazio
469;69.900;Chery;Tiggo;2 1.5 Mpfi 16v Flex Look 4p Manual;10.782;2019;SC;Areias - São José;Vazio
470;79.990;Honda;Fit;1.5 Lx At;77.453;2017;SC;Palhoça;Vazio
471;57.999;Volkswagen;Up!;Move Tsi;82.351;2017;SC;Florianópolis;Vazio
