;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
1378;89.990;Hyundai;Ix35;Ix35 2.0 16v Flex 4p Automatico;80.187;2017;PR;Curitiba;Vazio
1379;63.000;Honda;Fit;Lx-mt 1.4 8v;95.310;2015;PR;Região do Lago - Cascavel;Vazio
1380;56.900;Hyundai;Hb20s;Hb20s 1.6m Comf;888;2015;PR;Maringá;Vazio
1381;89.900;Chevrolet;Onix;Plus Premier Turbo;45.492;2020;PR;Santa Felicidade - Curitiba;Vazio
1382;69.990;Hyundai;I30;I30 1.8;84.000;2015;PR;Hauer - Curitiba;Vazio
1383;59.900;Volkswagen;Up!;Up Cross Mdv;106.000;2018;PR;Centro - Ponta Grossa;Vazio
1384;56.900;Hyundai;Tucson;2.0 16v Flex Aut;52.162;2015;PR;Uberaba - Curitiba;Vazio
1385;55.900;Volkswagen;Gol;(novo) 1.0 Trend;41.300;2021;PR;Capão Raso - Curitiba;Vazio
1386;65.900;Toyota;Etios;Hb Xplus Mt;30.000;2020;PR;Vila Izabel - Curitiba;Vazio
1387;63.000;Fiat;Cronos;1.3 Drive Flex 4p;63.000;2019;PR;São Cristovão - Pato Branco;Vazio
1388;69.540;Ford;Ecosport;1.6 Se 16v Aut;84.406;2017;PR;Curitiba;Vazio
1389;59.500;Ford;Ecosport;Tit At 2.0;87.590;2015;PR;Jardim Carvalho - Ponta Grossa;Vazio
1390;62.999;Renault;Sandero;1.6 16v Sce Flex Stepway Dynamique Manual;34.882;2020;PR;Jardim Social - Curitiba;Vazio
1391;77.999;Jac;T40;1.6 16v Gasolina 4p Cvt;38.293;2019;PR;Jardim Social - Curitiba;Vazio
1392;68.900;Fiat;Argo;Precision At6;55.993;2018;PR;Jardim Carvalho - Ponta Grossa;Vazio
1393;90.000;Jeep;Renegade;Limited At;36.300;2017;PR;Jardim Carvalho - Ponta Grossa;Vazio
1394;56.300;Hyundai;Hb20;Hb20 1.6a Comf;94.716;2015;PR;Jardim Carvalho - Ponta Grossa;Vazio
1395;65.500;Ford;Focus;Se 1.6 Hc;108.800;2016;PR;Jardim Carvalho - Ponta Grossa;Vazio
1396;56.900;Chevrolet;Onix;1.0 Joy 8v Flex 4p Manual;55.000;2019;PR;Fanny - Curitiba;Vazio
1397;78.900;Volkswagen;Polo;1.6 Msi Total Flex 16v 5p Aut;56.000;2020;PR;Campina Grande do Sul;Vazio
1398;63.990;Volkswagen;Saveiro;Cd Cross Ma;150.000;2015;PR;Hauer - Curitiba;Vazio
1399;60.900;Jac;T40;1.5 Jet Flex;63.000;2018;PR;Hauer - Curitiba;Vazio
1400;77.000;Ford;Focus;Sedan Focus 2.0 Se Plus 16v Flex 4p Powershift;30.000;2018;PR;Boa Vista - Curitiba;Vazio
1401;88.000;Jeep;Renegade;Sport At;51.335;2018;PR;Jardim Carvalho - Ponta Grossa;Vazio
1402;86.900;Chevrolet;Onix;Plus Lt Turbo;23.187;2021;PR;Centro - Campo Largo;Vazio
1403;78.900;Chery;Tiggo;2 Look 1.5 16v Flex Aut. 5p;33.000;2020;PR;Xaxim - Curitiba;Vazio
1404;74.900;Fiat;Cronos;Precision 1.8 16v Flex Aut;35.000;2019;PR;Sítio Cercado - Curitiba;Vazio
1405;58.900;Volkswagen;Voyage;1.6 Msi Flex 8v 4p;54.346;2019;PR;Campina Grande do Sul;Vazio
1406;73.500;Renault;Duster;Oroch Oroch 16 4x2;137.275;2018;PR;Jardim Carvalho - Ponta Grossa;Vazio
1407;63.900;Hyundai;Hb20;Hb20 Unique 1.0 Flex 12v Mec;39.397;2019;PR;Curitiba;Vazio
1408;77.999;Renault;Sandero;1.6 16v Sce Flex Intense X-tronic;16.841;2020;PR;Jardim Social - Curitiba;Vazio
1409;75.900;Chevrolet;Tracker;Chev Ltz At;173.400;2015;PR;Arapoti;Vazio
1410;57.900;Citroën;C4;Lounge 1.6 Thp Tendance Flex Aut. 4p;85.000;2016;PR;Jardim Carvalho - Ponta Grossa;Vazio
1411;84.800;Renault;Duster;Expression Cvt;74.220;2020;PR;Jardim Carvalho - Ponta Grossa;Vazio
1412;87.500;Hyundai;Ix35;Ix35 B;65.970;2015;PR;Jardim Carvalho - Ponta Grossa;Vazio
1413;69.500;Toyota;Etios;Sedán Etios Sd Xplus At;37.780;2019;PR;Jardim Carvalho - Ponta Grossa;Vazio
1414;85.800;Toyota;Corolla;2.0 Vvt-ie Xei Direct Shift Flex;193.827;2016;PR;Jardim Carvalho - Ponta Grossa;Vazio
1415;55.000;Hyundai;Hb20s;Hb20s 1.6m Prem;99.500;2015;PR;Jardim Carvalho - Ponta Grossa;Vazio
